Coach,School,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Ryan Day,http://a.espncdn.com/i/teamlogos/ncaa/500/194.png,295.08,261.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Silverfield,http://a.espncdn.com/i/teamlogos/ncaa/500/235.png,165.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam Pittman,http://a.espncdn.com/i/teamlogos/ncaa/500/8.png,212.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scot Loeffler,http://a.espncdn.com/i/teamlogos/ncaa/500/189.png,154.4,115.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott Frost,http://a.espncdn.com/i/teamlogos/ncaa/500/158.png,240.27,245.1,227.95,178.34,162.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott Satterfeld,http://a.espncdn.com/i/teamlogos/ncaa/500/97.png,194.46,165.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sean Lewis,http://a.espncdn.com/i/teamlogos/ncaa/500/2309.png,141.52,138.12,127.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seth Littrell,http://a.espncdn.com/i/teamlogos/ncaa/500/249.png,164.56,158.78,127.14,111.16,122.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shawn Clark,http://a.espncdn.com/i/teamlogos/ncaa/500/2026.png,154.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shawn Elliott,http://a.espncdn.com/i/teamlogos/ncaa/500/2247.png,140.52,140.37,140.45,119.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skip Holtz,http://a.espncdn.com/i/teamlogos/ncaa/500/2348.png,162.08,155.46,162.18,121.72,128.91,142.32,119.17,124.51,181.93,143.19,182.46,124.38,119.53,118.48,115.08,47.3,0,0,0,0,0
Sonny Dykes,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png,156.95,167.28,151.67,0,207.8,198.77,174.52,190.85,111.9,51.59,154.22,0,0,0,0,0,0,0,0,0,0
Steve Addazio,http://a.espncdn.com/i/teamlogos/ncaa/500/36.png,142.8,177.26,172.47,162.61,146.69,169.45,177.12,126.19,139.63,93.88,0,0,0,0,0,0,0,0,0,0,0
Steve Campbell,http://a.espncdn.com/i/teamlogos/ncaa/500/6.png,140.54,122.8,120.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomas Hammock,http://a.espncdn.com/i/teamlogos/ncaa/500/2459.png,149.69,134.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tim Lester,http://a.espncdn.com/i/teamlogos/ncaa/500/2711.png,153.11,148.7,163.69,129.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Todd Graham,http://a.espncdn.com/i/teamlogos/ncaa/500/62.png,124.35,0,0,206.68,217.62,232.73,223.19,192.78,205.33,150.28,172.19,174.21,137.2,120.23,89.39,0,0,0,0,0,0
Tom Allen,http://a.espncdn.com/i/teamlogos/ncaa/500/84.png,177.39,202.63,190.77,167.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom Arth,http://a.espncdn.com/i/teamlogos/ncaa/500/2006.png,129.48,130.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom Herman,http://a.espncdn.com/i/teamlogos/ncaa/500/251.png,270.93,287.69,300.06,217.76,201.5,131.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Troy Calhoun,http://a.espncdn.com/i/teamlogos/ncaa/500/2005.png,142.11,134.5,110.51,115.88,110.9,98.02,97.78,106.74,121.39,77.86,26.17,95.62,23.97,32.03,0,0,0,0,0,0,0
Tyson Helton,http://a.espncdn.com/i/teamlogos/ncaa/500/98.png,157.37,153.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walt Bell,http://a.espncdn.com/i/teamlogos/ncaa/500/113.png,145.02,130.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Will Healy,http://a.espncdn.com/i/teamlogos/ncaa/500/2429.png,152.55,112.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Will Muschamp,http://a.espncdn.com/i/teamlogos/ncaa/500/2579.png,250.12,247.26,242.04,227.58,216.77,0,267.4,291.89,290.27,258.24,0,0,0,0,0,0,0,0,0,0,0
Willie Fritz,http://a.espncdn.com/i/teamlogos/ncaa/500/2655.png,165.84,144.82,173.75,114.66,127.78,137.18,111.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willie Taggart,http://a.espncdn.com/i/teamlogos/ncaa/500/2226.png,162.51,244.31,265.42,230.04,161.21,163.15,189.74,173.74,111.94,85.81,126.31,0,0,0,0,0,0,0,0,0,0
